客户编号,年龄,地区,客户分层,近90天访问次数,近90天下单次数,客单价,复购率,营销触达次数,是否响应活动
C001,41,天津,高频复购,33,12,413.83,0.31,8,是
C002,33,北京,成长白领,13,3,274.8,0.57,12,是
C003,49,河北,校园客群,23,7,666.15,0.43,5,是
C004,37,天津,沉默预警,20,4,266.94,0.55,3,是
C005,22,河北,校园客群,41,8,646.9,0.5,8,是
C006,37,山东,沉默预警,36,8,289.7,0.72,5,是
C007,23,北京,校园客群,31,7,429.6,0.53,3,是
C008,38,河南,沉默预警,11,4,158.12,0.58,10,是
C009,33,山东,高频复购,39,8,625.83,0.28,10,是
C010,22,北京,成长白领,45,16,146.75,0.58,11,是
C011,24,河南,成长白领,16,2,414.78,0.18,7,否
C012,21,山西,成长白领,20,3,255.37,0.65,2,是
C013,35,河南,成长白领,46,12,563.91,0.21,2,是
C014,28,河南,成长白领,23,7,130.27,0.19,5,否
C015,47,山东,沉默预警,13,3,268.02,0.35,5,否
C016,21,山西,成长白领,33,10,445.4,0.1,4,是
C017,20,天津,沉默预警,23,6,539.76,0.2,9,否
C018,46,天津,校园客群,46,15,661.68,0.39,7,是
C019,25,河南,成长白领,16,3,498.65,0.27,7,是
C020,24,河北,校园客群,26,4,156.63,0.59,9,是
C021,48,山西,高频复购,32,4,394.92,0.49,8,是
C022,22,河北,成长白领,19,3,165.56,0.27,12,否
C023,34,河北,沉默预警,16,3,96.1,0.35,4,是
C024,26,山西,成长白领,47,15,383.04,0.55,9,是
C025,49,北京,成长白领,36,6,414.35,0.33,10,否
C026,36,天津,沉默预警,32,6,554.33,0.26,1,否
C027,50,天津,沉默预警,15,3,374.73,0.3,9,否
C028,34,山西,沉默预警,42,9,594.76,0.35,6,是
C029,43,山东,成长白领,30,11,557.1,0.51,3,是
C030,27,河北,沉默预警,38,14,284.54,0.15,8,是
C031,48,河北,高频复购,6,1,330.71,0.51,3,是
C032,35,河南,成长白领,27,7,323.31,0.13,6,是
C033,39,河南,成长白领,46,14,537.57,0.66,1,是
C034,37,河北,校园客群,20,6,344.91,0.14,11,否
C035,38,北京,成长白领,7,1,559.32,0.27,6,否
C036,30,北京,高频复购,16,2,448.82,0.33,11,是
C037,35,山西,成长白领,35,6,93.56,0.61,5,是
C038,23,山西,高频复购,34,12,672.69,0.28,7,是
C039,38,河南,成长白领,18,6,593.17,0.15,7,否
C040,37,山西,成长白领,7,2,477.67,0.26,10,是
C041,50,山西,沉默预警,24,7,224.23,0.61,4,是
C042,35,山西,校园客群,48,14,168.97,0.14,11,是
C043,47,山东,校园客群,8,2,521.56,0.14,5,否
C044,27,北京,校园客群,40,13,304.59,0.41,5,是
C045,49,北京,成长白领,24,7,288.52,0.16,2,否
C046,44,河北,沉默预警,41,8,556.08,0.09,9,是
C047,35,北京,成长白领,43,9,466.02,0.33,11,是
C048,39,天津,成长白领,45,7,125.42,0.62,12,是
C049,26,河北,高频复购,14,1,110.03,0.74,2,是
C050,27,山东,成长白领,30,7,484.93,0.57,9,是
C051,28,河北,高频复购,32,9,581.55,0.49,5,是
C052,32,天津,高频复购,34,8,227.78,0.32,11,是
C053,41,山西,高频复购,9,2,200.37,0.16,8,否
C054,20,河南,高频复购,9,2,232.19,0.16,10,是
C055,32,天津,成长白领,20,4,175.35,0.67,1,是
C056,28,天津,沉默预警,14,3,560.72,0.15,1,否
C057,34,山东,高频复购,43,8,191.15,0.11,12,是
C058,23,河南,高频复购,36,8,302.33,0.47,8,是
C059,21,山东,成长白领,48,12,359.16,0.72,1,是
C060,46,北京,沉默预警,12,2,626.54,0.13,2,否
C061,36,河南,校园客群,45,12,412.63,0.29,10,是
C062,51,山西,成长白领,44,10,557.51,0.16,11,是
C063,32,山西,沉默预警,33,7,223.27,0.3,8,否
C064,46,河北,校园客群,26,7,309.59,0.18,8,否
C065,25,河南,校园客群,29,9,417.37,0.47,9,是
C066,26,河北,成长白领,32,6,481.88,0.58,12,是
C067,38,河北,沉默预警,28,4,388.39,0.18,8,否
C068,42,河南,成长白领,13,4,427.87,0.61,9,是
C069,20,天津,高频复购,44,15,579.04,0.26,3,是
C070,38,北京,高频复购,27,5,195.39,0.17,11,是
C071,20,天津,高频复购,11,3,215.36,0.36,6,否
C072,24,山东,高频复购,9,1,534.63,0.11,2,否
C073,45,山东,高频复购,23,4,391.31,0.31,2,否
C074,38,北京,高频复购,8,1,670.79,0.12,4,是
C075,35,北京,高频复购,24,4,92.58,0.57,3,是
C076,33,山西,成长白领,38,10,483.48,0.31,7,是
C077,20,山东,校园客群,35,12,598.37,0.46,10,是
C078,45,山西,高频复购,24,3,100.35,0.29,10,是
C079,24,河北,沉默预警,33,11,232.04,0.47,9,是
C080,38,河南,成长白领,27,4,549.24,0.13,11,否
